Number of cores: 152
Using device: cpu
Using device: cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 9.042459
Train Epoch: 0 	 Training Loss: 3.815258
Train Epoch: 0 	 Validation Loss: 9.898077
Train Epoch: 0 	 Validation Loss: 4.260718
Train Epoch: 10 	 Training Loss: 5.398842
Train Epoch: 10 	 Validation Loss: 5.897094
Train Epoch: 10 	 Training Loss: 2.856805
Train Epoch: 10 	 Validation Loss: 3.158833
Train Epoch: 20 	 Training Loss: 3.912410
Train Epoch: 20 	 Validation Loss: 4.229971
Train Epoch: 20 	 Training Loss: 2.488977
Train Epoch: 20 	 Validation Loss: 2.711907
Train Epoch: 30 	 Training Loss: 3.187040
Train Epoch: 30 	 Validation Loss: 3.402084
Train Epoch: 30 	 Training Loss: 2.322479
Train Epoch: 30 	 Validation Loss: 2.498425
Train Epoch: 40 	 Training Loss: 2.792025
Train Epoch: 40 	 Validation Loss: 2.943956
Train Epoch: 40 	 Training Loss: 2.241696
Train Epoch: 40 	 Validation Loss: 2.388007
Train Epoch: 50 	 Training Loss: 2.561360
Train Epoch: 50 	 Validation Loss: 2.671963
Train Epoch: 50 	 Training Loss: 2.201828
Train Epoch: 50 	 Validation Loss: 2.328679
Train Epoch: 60 	 Training Loss: 2.420486
Train Epoch: 60 	 Validation Loss: 2.502708
Train Epoch: 60 	 Training Loss: 2.182462
Train Epoch: 60 	 Validation Loss: 2.296259
Train Epoch: 70 	 Training Loss: 2.332024
Train Epoch: 70 	 Validation Loss: 2.394005
Train Epoch: 70 	 Training Loss: 2.173423
Train Epoch: 70 	 Validation Loss: 2.278427
Train Epoch: 80 	 Training Loss: 2.275621
Train Epoch: 80 	 Validation Loss: 2.322709
Train Epoch: 80 	 Training Loss: 2.169439
Train Epoch: 80 	 Validation Loss: 2.268589
Train Epoch: 90 	 Training Loss: 2.167786
Train Epoch: 90 	 Validation Loss: 2.263146
Train Epoch: 90 	 Training Loss: 2.239460
Train Epoch: 90 	 Validation Loss: 2.275302
Using device: cpu
Using device: cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 3.509008
Train Epoch: 0 	 Training Loss: 2.347031
Train Epoch: 0 	 Validation Loss: 4.250614
Train Epoch: 0 	 Validation Loss: 2.489398
Train Epoch: 10 	 Training Loss: 2.262891
Train Epoch: 10 	 Validation Loss: 2.412063
Train Epoch: 10 	 Training Loss: 2.698663
Train Epoch: 10 	 Validation Loss: 3.154783
Train Epoch: 20 	 Training Loss: 2.208935
Train Epoch: 20 	 Validation Loss: 2.387250
Train Epoch: 20 	 Training Loss: 2.397019
Train Epoch: 20 	 Validation Loss: 2.718352
Train Epoch: 30 	 Training Loss: 2.174090
Train Epoch: 30 	 Validation Loss: 2.381139
Train Epoch: 30 	 Training Loss: 2.267031
Train Epoch: 30 	 Validation Loss: 2.515331
Train Epoch: 40 	 Training Loss: 2.156538
Train Epoch: 40 	 Validation Loss: 2.384257
Train Epoch: 40 	 Training Loss: 2.207765
Train Epoch: 40 	 Validation Loss: 2.412948
Train Epoch: 50 	 Training Loss: 2.149539
Train Epoch: 50 	 Validation Loss: 2.389118
Train Epoch: 50 	 Training Loss: 2.180615
Train Epoch: 50 	 Validation Loss: 2.359051
Train Epoch: 60 	 Training Loss: 2.147130
Train Epoch: 60 	 Validation Loss: 2.392338
Train Epoch: 60 	 Training Loss: 2.168497
Train Epoch: 60 	 Validation Loss: 2.329991
