Number of cores: 152
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 4.747676
Train Epoch: 0 	 Training Loss: 6.066377
Train Epoch: 0 	 Validation Loss: 5.081113
Train Epoch: 0 	 Validation Loss: 4.224439
Train Epoch: 10 	 Training Loss: 3.331837
Train Epoch: 10 	 Validation Loss: 3.059416
Train Epoch: 10 	 Training Loss: 4.012742
Train Epoch: 10 	 Validation Loss: 3.473680
Train Epoch: 20 	 Training Loss: 2.752650
Train Epoch: 20 	 Validation Loss: 2.582612
Train Epoch: 20 	 Training Loss: 3.154660
Train Epoch: 20 	 Validation Loss: 2.815904
Train Epoch: 30 	 Training Loss: 2.472909
Train Epoch: 30 	 Validation Loss: 2.355184
Train Epoch: 30 	 Training Loss: 2.723742
Train Epoch: 30 	 Validation Loss: 2.491128
Train Epoch: 40 	 Training Loss: 2.326392
Train Epoch: 40 	 Validation Loss: 2.239080
Train Epoch: 40 	 Training Loss: 2.486815
Train Epoch: 40 	 Validation Loss: 2.316538
Train Epoch: 50 	 Training Loss: 2.246397
Train Epoch: 50 	 Validation Loss: 2.178300
Train Epoch: 50 	 Training Loss: 2.349850
Train Epoch: 50 	 Validation Loss: 2.218926
Train Epoch: 60 	 Training Loss: 2.201803
Train Epoch: 60 	 Validation Loss: 2.146600
Train Epoch: 60 	 Training Loss: 2.268483
Train Epoch: 60 	 Validation Loss: 2.163758
Train Epoch: 70 	 Training Loss: 2.176646
Train Epoch: 70 	 Validation Loss: 2.130523
Train Epoch: 80 	 Training Loss: 2.162232
Train Epoch: 80 	 Validation Loss: 2.122793
Train Epoch: 70 	 Training Loss: 2.219543
Train Epoch: 70 	 Validation Loss: 2.132967
Train Epoch: 90 	 Training Loss: 2.153677
Train Epoch: 90 	 Validation Loss: 2.119383
Train Epoch: 80 	 Training Loss: 2.190019
Train Epoch: 80 	 Validation Loss: 2.116397
Train Epoch: 90 	 Training Loss: 2.172224
Train Epoch: 90 	 Validation Loss: 2.108059
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 4.421726
Train Epoch: 0 	 Validation Loss: 3.940250
Train Epoch: 0 	 Training Loss: 146219.557292
Train Epoch: 0 	 Validation Loss: 139592.592188
Train Epoch: 10 	 Training Loss: 3.100947
Train Epoch: 10 	 Validation Loss: 2.835991
Train Epoch: 10 	 Training Loss: 91664.309751
Train Epoch: 10 	 Validation Loss: 88043.728906
Train Epoch: 20 	 Training Loss: 2.591865
Train Epoch: 20 	 Validation Loss: 2.418083
Train Epoch: 20 	 Training Loss: 62809.685475
Train Epoch: 20 	 Validation Loss: 60562.422656
Train Epoch: 30 	 Training Loss: 2.353895
Train Epoch: 30 	 Validation Loss: 2.228014
Train Epoch: 30 	 Training Loss: 45609.996817
Train Epoch: 30 	 Validation Loss: 44096.173438
Train Epoch: 40 	 Training Loss: 2.233148
Train Epoch: 40 	 Validation Loss: 2.135306
Train Epoch: 40 	 Training Loss: 34491.882812
Train Epoch: 40 	 Validation Loss: 33412.562500
Train Epoch: 50 	 Training Loss: 2.169397
Train Epoch: 50 	 Validation Loss: 2.089106
Train Epoch: 50 	 Training Loss: 26869.814381
Train Epoch: 50 	 Validation Loss: 26067.920898
Train Epoch: 60 	 Training Loss: 2.135056
Train Epoch: 60 	 Validation Loss: 2.066234
Train Epoch: 60 	 Training Loss: 21407.353913
Train Epoch: 60 	 Validation Loss: 20792.866992
Train Epoch: 70 	 Training Loss: 2.116268
Train Epoch: 70 	 Validation Loss: 2.055140
Train Epoch: 70 	 Training Loss: 17355.134404
Train Epoch: 70 	 Validation Loss: 16872.896875
Train Epoch: 80 	 Training Loss: 2.105701
Train Epoch: 80 	 Validation Loss: 2.049800
Train Epoch: 80 	 Training Loss: 14265.400843
Train Epoch: 80 	 Validation Loss: 13879.784766
Train Epoch: 90 	 Training Loss: 2.099400
Train Epoch: 90 	 Validation Loss: 2.047060
Train Epoch: 90 	 Training Loss: 11856.583785
Train Epoch: 90 	 Validation Loss: 11543.565918
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 4.926065
Train Epoch: 0 	 Validation Loss: 4.713583
Train Epoch: 0 	 Training Loss: 127790.182436
Train Epoch: 0 	 Validation Loss: 94275.685938
Train Epoch: 10 	 Training Loss: 79756.252459
Train Epoch: 10 	 Validation Loss: 59200.214063
Train Epoch: 10 	 Training Loss: 3.401013
Train Epoch: 10 	 Validation Loss: 3.371408
Train Epoch: 20 	 Training Loss: 54530.793692
Train Epoch: 20 	 Validation Loss: 40625.219531
Train Epoch: 20 	 Training Loss: 2.806437
Train Epoch: 20 	 Validation Loss: 2.830560
Train Epoch: 30 	 Training Loss: 39539.980035
Train Epoch: 30 	 Validation Loss: 29531.248437
Train Epoch: 30 	 Training Loss: 2.519193
Train Epoch: 30 	 Validation Loss: 2.562534
Train Epoch: 40 	 Training Loss: 29869.605541
Train Epoch: 40 	 Validation Loss: 22349.258203
Train Epoch: 40 	 Training Loss: 2.367132
Train Epoch: 40 	 Validation Loss: 2.417812
Train Epoch: 50 	 Training Loss: 23250.008572
Train Epoch: 50 	 Validation Loss: 17420.035742
Train Epoch: 50 	 Training Loss: 2.283213
Train Epoch: 50 	 Validation Loss: 2.336674
Train Epoch: 60 	 Training Loss: 18511.463650
Train Epoch: 60 	 Validation Loss: 13884.357031
Train Epoch: 60 	 Training Loss: 2.236112
Train Epoch: 60 	 Validation Loss: 2.290609
Train Epoch: 70 	 Training Loss: 14999.488155
Train Epoch: 70 	 Validation Loss: 11259.680664
Train Epoch: 70 	 Training Loss: 2.209590
Train Epoch: 70 	 Validation Loss: 2.264576
Train Epoch: 80 	 Training Loss: 12323.688477
Train Epoch: 80 	 Validation Loss: 9257.332129
Train Epoch: 80 	 Training Loss: 2.194680
Train Epoch: 80 	 Validation Loss: 2.250143
